"id","date","bank_category","bank_name","atms_crms_onsite","atms_crms_offsite","pos","micro_atms","bharat_qr","upi_qr","credit_cards","debit_cards","cc_pay_trns_at_pos_vol","cc_pay_trns_at_pos_val","cc_pay_trns_online_vol","cc_pay_trns_online_val","cc_pay_trns_other_vol","cc_pay_trns_other_val","cc_cash_withdraw_atm_val","cc_cash_withdraw_atm_vol","dc_pay_trns_at_pos_vol","dc_pay_trns_at_pos_val","dc_pay_trns_online_vol","dc_pay_trns_online_val","dc_pay_trns_other_vol","dc_pay_trns_other_val","dc_cash_withdraw_atm_val","dc_cash_withdraw_atm_vol","dc_cash_withdraw_pos_val","dc_cash_withdraw_pos_vol"
0,"2022-03-01","Small Finance Banks","AU Small Finance Bank",407.0,3.0,0.0,321.0,0.0,487204.0,169470.0,1935173.0,269852.0,1385159.65,197587.0,1881923.68,744.0,364.02,4502.0,28352.8,247593.0,602474.02,184714.0,573932.23,313.0,3426.59,890008.0,5886432.75,30.0,27.6
1,"2022-03-01","Payment Banks","Airtel Payments Bank",0.0,0.0,0.0,0.0,0.0,3208634.0,0.0,1964142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213807.0,156600.18,0.0,0.0,0.0,0.0,0.0,0.0
2,"2022-03-01","Foreign Banks","American Express",0.0,0.0,45455.0,0.0,0.0,0.0,1383221.0,0.0,1018513.0,7369321.28,3595970.0,25400772.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"2022-03-01","Private Sector Banks","Axis Bank",5748.0,11174.0,1010244.0,710.0,347644.0,36594577.0,9034829.0,27747647.0,13841270.0,41222880.02,9407975.0,52642162.95,0.0,0.0,45631.0,185105.56,12387481.0,27686318.61,6319140.0,18441049.67,26208.0,658186.04,22320612.0,137931664.0,0.0,0.0
4,"2022-03-01","Private Sector Banks","Bandhan Bank",466.0,5.0,36339.0,0.0,0.0,0.0,0.0,4966096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592668.0,1405190.0,394699.0,918313.0,0.0,0.0,2658287.0,14003766.85,27811.0,27834.0
5,"2022-03-01","Foreign Banks","Bank of America",0.0,0.0,0.0,0.0,0.0,0.0,21756.0,0.0,27052.0,99065.02,12329.0,107630.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"2022-03-01","Public Sector Banks","Bank of Baroda",8757.0,2730.0,27074.0,35517.0,12378.0,650416.0,1103921.0,74522207.0,1165443.0,3686313.35,1085014.0,4499567.59,0.0,0.0,21838.0,101121.59,8519967.0,15691963.28,4484921.0,7721120.69,0.0,0.0,29706035.0,140457630.6,2163.0,1929.46
7,"2022-03-01","Public Sector Banks","Bank of India",2507.0,2751.0,45542.0,10834.0,104.0,353824.0,166751.0,44856938.0,154672.0,508947.35,122496.0,335866.87,0.0,0.0,10184.0,59089.17,5121057.0,8817597.55,3213983.0,4057260.8,0.0,0.0,18870699.0,74143941.22,16653.0,16314.49
8,"2022-03-01","Public Sector Banks","Bank of Maharashtra",1694.0,434.0,2795.0,0.0,355014.0,433713.0,77677.0,12264810.0,96808.0,407564.18,0.0,0.0,0.0,0.0,1225.0,5727.86,2889361.0,4340817.32,1131118.0,1477836.44,10610.0,128268.9,7541893.0,32295602.25,0.0,0.0
9,"2022-03-01","Foreign Banks","Barclays Bank",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,907.05,32.0,28.32,0.0,0.0,401.0,3499.95,0.0,0.0
10,"2022-03-01","Public Sector Banks","Canara Bank",8071.0,4139.0,50032.0,8096.0,69.0,1264169.0,927694.0,46459485.0,662053.0,1715137.02,305102.0,965897.95,0.0,0.0,56673.0,284861.14,10233195.0,19323217.08,4791270.0,7906774.63,5255.0,85017.56,32586175.0,148809517.9,2798.0,2467.67
11,"2022-03-01","Small Finance Banks","Capital Small Finance Bank",161.0,2.0,0.0,0.0,0.0,0.0,0.0,183510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49955.0,135511.46,20448.0,40847.14,0.0,0.0,129173.0,699054.17,0.0,0.0
12,"2022-03-01","Private Sector Banks","Catholic Syrian Bank",1110.0,622.0,0.0,1067.0,3835.0,0.0,0.0,804171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248523.0,408223.75,59475.0,105540.05,8.0,24.36,498802.0,2370432.93,42.0,28.23
13,"2022-03-01","Public Sector Banks","Central Bank of India",2389.0,587.0,3957.0,8015.0,7543.0,175363.0,0.0,30197222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2618263.0,5511293.53,486339.0,946614.01,0.0,0.0,9716712.0,43780949.16,9887.0,9946.03
14,"2022-03-01","Foreign Banks","Citibank",47.0,441.0,0.0,0.0,0.0,0.0,2551485.0,1432288.0,6782388.0,18646347.26,6258303.0,25148091.79,0.0,0.0,12658.0,74745.2,1028885.0,2400201.49,1115035.0,3027062.28,0.0,0.0,1006987.0,5649930.33,0.0,0.0
15,"2022-03-01","Private Sector Banks","City Union Bank",407.0,52.0,7927.0,20366.0,0.0,29912.0,1834.0,2579284.0,1494.0,4334.4,433.0,1626.48,0.0,0.0,8.0,18.0,952999.0,1687005.05,257331.0,409040.23,0.0,0.0,2757082.0,14527320.64,0.0,0.0
16,"2022-03-01","Foreign Banks","DBS Bank",498.0,518.0,1013.0,124.0,0.0,2587.0,1000.0,2125772.0,1479.0,3546.47,634.0,2696.69,0.0,0.0,2.0,3.0,729424.0,993395.75,356248.0,576736.1,568.0,7453.43,1326776.0,5831994.21,50.0,37.75
17,"2022-03-01","Private Sector Banks","DCB Bank",341.0,8.0,8980.0,0.0,4944.0,0.0,3778.0,854723.0,6334.0,13941.52,3939.0,14687.33,0.0,0.0,205.0,1475.94,273325.0,506682.38,98394.0,349894.14,703.0,25257.51,331189.0,1951474.78,0.0,0.0
18,"2022-03-01","Foreign Banks","Deutsche Bank",13.0,19.0,0.0,0.0,0.0,7.0,0.0,121093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61475.0,157090.22,39416.0,97802.4,0.0,0.0,52600.0,303832.34,0.0,0.0
19,"2022-03-01","Private Sector Banks","Dhanlaxmi Bank",214.0,44.0,1472.0,0.0,0.0,18530.0,7134.0,503775.0,16955.0,34979.61,6809.0,18950.62,7.0,33.83,120.0,437.69,246496.0,393789.86,63706.0,105083.91,0.0,0.0,464152.0,2044583.05,0.0,0.0
20,"2022-03-01","Small Finance Banks","ESAF Small Finance Bank",384.0,2.0,0.0,697.0,0.0,0.0,0.0,4391126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305368.0,374817.76,0.0,0.0,0.0,0.0,1241175.0,6406089.38,236.0,158.09
21,"2022-03-01","Small Finance Banks","Equitas Small Finance Bank",336.0,3.0,13216.0,304.0,22412.0,0.0,0.0,3293094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278828.0,407816.45,175995.0,468444.1,0.0,0.0,924018.0,3546281.97,0.0,0.0
22,"2022-03-01","Private Sector Banks","Federal Bank",1505.0,380.0,16569.0,0.0,105113.0,3077952.0,134841.0,11129386.0,280863.0,936308.87,381977.0,1532227.49,0.0,0.0,1771.0,9438.67,5243651.0,8564523.87,2268479.0,4444410.97,1903.0,19257.84,9289376.0,45815354.48,297.0,238.25
23,"2022-03-01","Small Finance Banks","Fincare Small Finance Bank",125.0,0.0,0.0,0.0,0.0,0.0,0.0,3314960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55974.0,61529.58,9200.0,12302.48,0.0,0.0,686237.0,3393042.01,0.0,0.0
